2011-10-12 14:27:40 install libselinux1 <none> 2.0.98-1.1
2011-10-12 14:27:40 status half-installed libselinux1 2.0.98-1.1
2011-10-12 14:27:40 status unpacked libselinux1 2.0.98-1.1
2011-10-12 14:27:40 status unpacked libselinux1 2.0.98-1.1
2011-10-12 14:27:40 install libslang2 <none> 2.2.4-2ubuntu1
2011-10-12 14:27:40 status half-installed libslang2 2.2.4-2ubuntu1
2011-10-12 14:27:40 status unpacked libslang2 2.2.4-2ubuntu1
2011-10-12 14:27:40 status unpacked libslang2 2.2.4-2ubuntu1
2011-10-12 14:27:40 install libss2 <none> 1.41.14-1ubuntu3
2011-10-12 14:27:40 status half-installed libss2 1.41.14-1ubuntu3
2011-10-12 14:27:40 status unpacked libss2 1.41.14-1ubuntu3
2011-10-12 14:27:40 status unpacked libss2 1.41.14-1ubuntu3
2011-10-12 14:27:40 install libssl1.0.0 <none> 1.0.0e-2ubuntu4
2011-10-12 14:27:40 status half-installed libssl1.0.0 1.0.0e-2ubuntu4
2011-10-12 14:27:40 status unpacked libssl1.0.0 1.0.0e-2ubuntu4
2011-10-12 14:27:40 status unpacked libssl1.0.0 1.0.0e-2ubuntu4
2011-10-12 14:27:40 install libtinfo5 <none> 5.9-1ubuntu5
2011-10-12 14:27:40 status half-installed libtinfo5 5.9-1ubuntu5
2011-10-12 14:27:40 status unpacked libtinfo5 5.9-1ubuntu5
2011-10-12 14:27:40 status unpacked libtinfo5 5.9-1ubuntu5
2011-10-12 14:27:40 install libudev0 <none> 173-0ubuntu4
2011-10-12 14:27:40 status half-installed libudev0 173-0ubuntu4
2011-10-12 14:27:40 status unpacked libudev0 173-0ubuntu4
2011-10-12 14:27:40 status unpacked libudev0 173-0ubuntu4
2011-10-12 14:27:40 install libuuid1 <none> 2.19.1-2ubuntu3
2011-10-12 14:27:40 status half-installed libuuid1 2.19.1-2ubuntu3
2011-10-12 14:27:40 status unpacked libuuid1 2.19.1-2ubuntu3
2011-10-12 14:27:40 status unpacked libuuid1 2.19.1-2ubuntu3
2011-10-12 14:27:40 install locales <none> 2.13+git20110622-2
2011-10-12 14:27:40 status half-installed locales 2.13+git20110622-2
2011-10-12 14:27:41 status unpacked locales 2.13+git20110622-2
2011-10-12 14:27:41 status unpacked locales 2.13+git20110622-2
2011-10-12 14:27:41 install login <none> 1:4.1.4.2+svn3283-3ubuntu2
2011-10-12 14:27:41 status half-installed login 1:4.1.4.2+svn3283-3ubuntu2
2011-10-12 14:27:41 status unpacked login 1:4.1.4.2+svn3283-3ubuntu2
2011-10-12 14:27:41 status unpacked login 1:4.1.4.2+svn3283-3ubuntu2
2011-10-12 14:27:41 install lsb-base <none> 4.0-0ubuntu16
2011-10-12 14:27:41 status half-installed lsb-base 4.0-0ubuntu16
